ObjectID,vehicle_types,State,District,LOR_ab_2021,AccidentYear,AccidentMonth,AccidentHour,DayOfWeek,AccidentCategory,AccidentType,AccidentTypeDetail,LightingCondition,InvolvingBike,InvolvingCar,InvolvingPedestrian,RoadCondition,GraphicCoord1,GraphicCoord2,LongitudeWGS84,LatitudeWGS84,accident_outcome
217618,bike + car,11,10,10100311.0,2021,10,13,5,3,5,2,0,1,1,0,0,806821.4281,5830312.467,13.52479973,52.53627875,0
217619,car,11,10,10300734.0,2021,11,1,3,3,9,1,2,0,1,0,0,809578.5766,5825251.04,13.56061271,52.48936094,0
217620,car,11,2,2100106.0,2021,11,18,5,3,2,6,2,0,1,0,0,799852.8123,5825696.906,13.41820738,52.49878642,0
217624,bike + car,11,7,7300618.0,2021,11,0,7,3,1,5,2,1,1,0,0,794946.2157,5822532.9,13.34333848,52.47309715,0
217626,bike + car,11,8,8100104.0,2021,10,11,1,3,2,6,0,1,1,0,0,800261.2607,5822199.105,13.42105586,52.46720957,0
217627,car + pedestrian,11,11,11300620.0,2021,10,10,2,3,6,2,0,0,1,1,0,804247.1239,5828701.389,13.48548825,52.52328251,0
217628,car,11,7,7501031.0,2021,10,12,5,3,2,6,0,0,1,0,0,799035.9712,5819700.933,13.40083522,52.44548868,0
217629,bike + pedestrian,11,7,7601341.0,2021,10,11,7,3,6,4,0,1,0,1,0,797845.7477,5815287.83,13.37944503,52.40657925,0
217631,bike + car,11,1,1100308.0,2021,11,12,5,3,1,5,0,1,1,0,1,797583.3425,5828529.56,13.38740747,52.52542008,0
217632,car,11,5,5300737.0,2021,11,20,2,3,2,6,2,0,1,0,1,787342.1638,5830122.106,13.23825089,52.54519236,0
217633,bike + car,11,8,8100206.0,2021,11,15,6,3,5,2,0,1,1,0,0,800434.3059,5823706.843,13.42495357,52.48062893,0
217634,bike + car,11,2,2100102.0,2021,10,8,2,3,5,2,0,1,1,0,0,798451.8002,5826533.729,13.39838032,52.50705543,0
217636,bike + car,11,1,1100207.0,2021,10,14,3,3,5,3,0,1,1,0,0,797885.9236,5826675.655,13.39019445,52.50863689,0
217637,car + pedestrian,11,7,7100102.0,2021,10,8,5,3,6,2,0,0,1,1,0,795469.2197,5825556.735,13.35369669,52.49992095,0
217638,bike + car,11,12,12100102.0,2021,10,23,1,2,1,5,2,1,1,0,0,796570.0109,5833685.567,13.37711955,52.57219016,1
217639,car,11,9,9100407.0,2021,11,19,3,2,0,1,2,0,1,0,0,804897.3623,5821576.377,13.48852332,52.45906091,1
217641,bike + car,11,7,7100102.0,2021,11,11,3,3,0,3,0,1,1,0,0,795381.8632,5824981.476,13.35190339,52.49481148,0
217644,car + pedestrian,11,1,1100415.0,2021,10,20,4,3,6,7,2,0,1,1,0,798316.8083,5829367.886,13.39893891,52.53253371,0
217645,bike + car,11,4,4200310.0,2021,10,10,5,3,1,5,0,1,1,0,0,790018.1552,5826428.68,13.2743807,52.51066249,0
217646,car,11,4,4500939.0,2021,11,16,4,3,2,7,2,0,1,0,1,792426.3178,5824089.374,13.30771035,52.48840553,0
217647,bike + pedestrian,11,2,2200208.0,2021,11,17,6,3,6,7,1,1,0,1,0,797530.0145,5824951.072,13.383425,52.49337219,0
217648,bike + car,11,7,7100101.0,2021,10,15,5,3,1,5,0,1,1,0,0,794909.3075,5825060.291,13.3450327,52.49577354,0
