y,x,osmid,highway,ref,geometry
52.5609066,13.171858,369810407,,,POINT (13.171858 52.5609066)
52.5830935,13.4283391,387853771,,,POINT (13.4283391 52.5830935)
52.4105693,13.1241754,390675439,,,POINT (13.1241754 52.4105693)
52.4925366,13.432908,409551394,,,POINT (13.432908 52.4925366)
52.4902901,13.1803921,414009347,,,POINT (13.1803921 52.4902901)
52.4861216,13.1827604,414009374,,,POINT (13.1827604 52.4861216)
52.4848485,13.5135696,414090543,,,POINT (13.5135696 52.4848485)
52.5738333,13.3519278,418829744,,,POINT (13.3519278 52.5738333)
52.5689709,13.4015773,430813159,,,POINT (13.4015773 52.5689709)
52.51307,13.4816732,433557530,,,POINT (13.4816732 52.51307)
52.5228756,13.3630717,446260165,,,POINT (13.3630717 52.5228756)
52.4584069,13.3331231,447904103,,,POINT (13.3331231 52.4584069)
52.4638252,13.3315298,447907186,,,POINT (13.3315298 52.4638252)
52.4224204,13.3592597,452571408,,,POINT (13.3592597 52.4224204)
52.5389866,13.5355066,468128390,,,POINT (13.5355066 52.5389866)
52.591162,13.2831297,468970906,,,POINT (13.2831297 52.591162)
52.591326,13.2853033,468970932,,,POINT (13.2853033 52.591326)
52.5180308,13.4534247,474752240,crossing,,POINT (13.4534247 52.5180308)
52.567958,13.5443111,482740246,,,POINT (13.5443111 52.567958)
52.5475883,13.5721547,492185003,,,POINT (13.5721547 52.5475883)
52.5603713,13.1976778,506808533,,,POINT (13.1976778 52.5603713)
52.5653954,13.3562033,508917648,turning_circle,,POINT (13.3562033 52.5653954)
52.526822,13.5487323,523550550,,,POINT (13.5487323 52.526822)
52.4590607,13.3474006,542337654,,,POINT (13.3474006 52.4590607)
52.4883092,13.4141363,543507358,crossing,,POINT (13.4141363 52.4883092)
52.6570317,13.4880483,544893399,,,POINT (13.4880483 52.6570317)
52.5980974,13.3115794,550410375,,,POINT (13.3115794 52.5980974)
52.5831094,13.4286054,564900402,crossing,,POINT (13.4286054 52.5831094)
52.4882112,13.4254691,577322014,,,POINT (13.4254691 52.4882112)
52.4881455,13.4252994,577322016,crossing,,POINT (13.4252994 52.4881455)
