osmid,lanes,name,highway,maxspeed,oneway,length,geometry,width,bridge,ref,access,tunnel,junction,service,area,est_width,u,v,key
431306412,2,Gerichtstraße,residential,30,False,75.97099999999999,"LINESTRING (13.3702908 52.544643, 13.3704798 52.5445953, 13.3706878 52.5445429, 13.3707744 52.5445211, 13.3708214 52.5445092, 13.3711395 52.544429, 13.3711964 52.5444137, 13.3713286 52.5443814)",,,,,,,,,,26749711,4305261849,0
"[428997692, 42732309]","['2', '4']","['Pankstraße', 'Reinickendorfer Straße']","['secondary', 'primary']",50,True,97.75699999999999,"LINESTRING (13.3702908 52.544643, 13.3703666 52.5447666, 13.370545 52.5450863, 13.3705879 52.5451599, 13.3706465 52.545262, 13.3707196 52.5454012, 13.3707583 52.5454748)",,,B 96,,,,,,,26749711,3847019588,0
4804139,4,Seegefelder Straße,tertiary,50,False,20.212,"LINESTRING (13.1994324 52.5347761, 13.1996267 52.534638)",,,,,,,,,,26759725,34780709,0
"[30718922, 462582767, 468161713, 30718931, 328440055]","['5', '4']",Seegefelder Straße,tertiary,"['30', '50']",False,292.02299999999997,"LINESTRING (13.1994324 52.5347761, 13.1993142 52.534807, 13.1991903 52.5348394, 13.1986987 52.5349185, 13.1984293 52.5349578, 13.1979252 52.5350058, 13.1972078 52.5351076, 13.1966048 52.535224, 13.196072 52.535335, 13.1960242 52.5353439, 13.1955583 52.5354439, 13.1954947 52.5354567, 13.1952904 52.5354968)",,,,,,,,,,26759725,6169025779,0
"[28502754, 333500494]","['5', '4']",Klosterstraße,secondary,50,True,204.9,"LINESTRING (13.1994324 52.5347761, 13.199297 52.5345079, 13.1989437 52.5338084, 13.1989222 52.5337657, 13.1987392 52.5334948, 13.198472 52.5331393, 13.1984467 52.5331056, 13.1984023 52.5330466)",,,,,,,,,,26759725,7701926360,0
24652619,,Schmidt-Knobelsdorf-Straße,tertiary,50,False,195.30700000000002,"LINESTRING (13.1880437 52.5224064, 13.1877528 52.5225387, 13.1869283 52.522773, 13.1866201 52.5228605, 13.1854553 52.5231737)",,,,,,,,,,26759912,81425976,0
150519560,,Karl-Heinrich-Ulrichs-Straße,tertiary,50,False,108.34299999999999,"LINESTRING (13.3527573 52.5039101, 13.3529936 52.5030984, 13.3530284 52.5029499)",,,,,,,,,,26822978,26866506,0
"[520485515, 4619652]",2,Lützowplatz,tertiary,50,False,170.225,"LINESTRING (13.3527573 52.5039101, 13.3528155 52.5039908, 13.3532859 52.5046432, 13.3533247 52.5046971, 13.3535841 52.5050568, 13.3536173 52.5051028, 13.3536921 52.5052067, 13.3537125 52.505235, 13.3537702 52.5053113)",,,,,,,,,,26822978,26822979,0
11607313,4,Lützowplatz,tertiary,50,False,70.478,"LINESTRING (13.3527573 52.5039101, 13.3525661 52.5039793, 13.3518232 52.5041889)",,,,,,,,,,26822978,103553858,0
150519560,,Karl-Heinrich-Ulrichs-Straße,tertiary,50,False,108.34299999999999,"LINESTRING (13.3530284 52.5029499, 13.3529936 52.5030984, 13.3527573 52.5039101)",,,,,,,,,,26866506,26822978,0
"[722137842, 23735661]",4,Sellerstraße,primary,50,False,380.012,"LINESTRING (13.3655925 52.5371637, 13.3656486 52.5371961, 13.3657778 52.5372706, 13.3659574 52.5373744, 13.3660665 52.5374373, 13.366482 52.5376768, 13.367078 52.5380207, 13.3674133 52.5382139, 13.3678892 52.5384929, 13.3681474 52.5386443, 13.3682873 52.5387256, 13.3684619 52.5388271, 13.3690522 52.5391585, 13.3691311 52.5392039, 13.369177 52.5392304, 13.369334 52.5393209, 13.3696696 52.5395152)",,,B 96,,,,,,,26872069,26749628,0
47973763,,Lützowufer,residential,30,False,39.415,"LINESTRING (13.3478581 52.5070953, 13.3483489 52.5069045)",,,,,,,,,,26874394,26704698,0
